date,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,cloud_cover_pct,season
2020-01-01,1.82,80.75,11.77,13.66,34.11,Winter
2020-01-02,-0.03,79.85,15.49,32.87,62.61,Winter
2020-01-03,2.39,73.59,10.95,2.41,28.03,Winter
2020-01-04,,67.91,14.34,27.98,41.06,Winter
2020-01-05,-0.12,,3.24,4.51,26.63,Winter
2020-01-06,-0.05,77.21,17.99,3.42,20.67,Winter
2020-01-07,5.47,75.31,16.51,0.41,20.45,Winter
2020-01-08,3.12,75.89,10.78,0.43,17.13,Winter
2020-01-09,-0.51,80.86,21.11,9.42,26.84,Winter
2020-01-10,2.62,70.44,23.06,4.9,26.53,Winter
2020-01-11,-0.3,82.04,5.25,2.05,11.92,Winter
2020-01-12,-0.21,76.37,11.16,7.61,16.69,Winter
2020-01-13,,83.97,11.12,2.33,8.21,Winter
2020-01-14,-4.35,75.24,9.92,6.9,10.2,Winter
2020-01-15,-3.67,86.82,22.31,3.56,11.03,Winter
2020-01-16,-0.07,76.25,15.14,13.88,34.08,Winter
2020-01-17,-1.3,72.99,14.65,13.75,23.45,Winter
2020-01-18,2.8,,2.47,5.19,29.81,Winter
2020-01-19,-0.74,74.2,20.95,3.46,23.46,Winter
2020-01-20,-2.12,79.02,7.83,3.6,3.56,Winter
2020-01-21,6.65,72.5,16.92,13.11,38.35,Winter
2020-01-22,1.71,70.97,18.44,3.18,30.97,Winter
2020-01-23,2.74,72.9,26.02,1.88,11.75,Winter
2020-01-24,-1.6,87.2,7.34,0.71,24.84,Winter
2020-01-25,1.19,82.89,7.64,5.03,15.96,Winter
2020-01-26,3.31,74.74,17.79,5.26,25.71,Winter
2020-01-27,,75.65,29.1,14.71,20.59,Winter
2020-01-28,4.42,72.27,25.17,,3.87,Winter
2020-01-29,1.66,,17.97,3.84,19.63,Winter
2020-01-30,2.75,67.89,13.06,,30.66,Winter
2020-01-31,1.99,72.33,22.15,13.88,28.52,Winter
